cage_ID	cohort	genotype	treatment	object_corner_3	object_corner_4	explorations_object3	time_exploration_3left	explorations_object4	time_exploration_4right	total_exploration_time_[s]
1-1	1	mutant	saline	bottle	bricks	5	11.927	10	21.403	33.33
2-2	1	mutant	L-DOPA	bottle	bricks	53	50.738	21	13.328	64.066
2-3	1	control	saline	bricks	bottle	8	9.6	8	13.163	22.763
3-1	1	control	saline	bricks	bottle	15	18.802	12	11.374	30.176
3-2	1	mutant	L-DOPA	bottle	bricks	42	26.327	67	25.854	52.181
3-3	1	control	L-DOPA	bottle	bricks	18	16.651	5	5.875	22.526
3-4	1	mutant	saline	bricks	bottle	1	0.25	18	10.202	10.452
4-1	1	control	saline	bricks	bottle	10	7.173	11	5.721	12.894
4-2	1	control	L-DOPA	bottle	bricks	12	9.022	6	5.65	14.672
5-1	1	mutant	saline	bottle	bricks	9	11.927	10	10.603	22.53
5-2	1	control	L-DOPA	bricks	bottle	3	1.301	26	31.489	32.79
5-3	1	mutant	L-DOPA	bricks	bottle	2	0.75	3	1.525	2.275
6-1	2	mutant	L-DOPA	bottle	bricks	11	12.372	12	11.044	23.416
6-2	2	control	saline	bottle	bricks	11	10.453	9	5.747	16.2
8-1	2	control	L-DOPA	bricks	bottle	4	2.027	3	3.4	5.427
8-2	2	control	saline	bricks	bottle	5	2.776	14	10.197	12.973
10-1	2	control	saline	bottle	bricks	13	9.072	15	11.499	20.571
10-2	2	control	L-DOPA	bottle	bricks	6	11.701	8	10.899	22.6
10-3	2	mutant	saline	bottle	bricks	3	1.5	1	0.501	2.001
10-4	2	control	L-DOPA	bottle	bricks	8	5.15	12	13.049	18.199
11-1	2	control	saline	bricks	bottle	8	4.891	12	11.399	16.29
11-2	2	mutant	L-DOPA	bricks	bottle	23	34.194	17	21.094	55.288
11-3	2	mutant	saline	bricks	bottle	1	0.524	0	0	0.524
11-4	2	control	L-DOPA	bricks	bottle	9	20.875	10	10.748	31.623
