mouse_ID,genotype,cage,cage_ID,13/09/21,02/11/2021,09/11/2021,16/11/2021,23/11/2021,30/11/2021,07/12/2021,15/12/2021
3299,mutant,6,6-1,21.5,26.7,26,26.57,25.5,26.56,26.11,25.4
3300,control,6,6-2,25.1,29.3,28.4,29.67,29.8,31.5,31.47,31.4
3303,mutant,7,7-1,25.1,27.5,26.9,27.3,27.55,27.5,21.3,NA
3306,control,7,7-2,23.4,25.2,25,24.89,25.83,25.73,25.62,NA
3307,control,8,8-1,23.7,27.4,26.6,26.98,26.4,28.2,27.49,27.3
3308,control,8,8-2,25.5,26.5,26.6,27.33,27.1,28,28.06,28.04
3254,control,9,9-1,24.1,26.6,26.4,27.41,27.8,27.91,28.06,NA
3255,mutant,9,9-2,24.8,27.6,27.5,28.3,28,28.82,27.13,NA
3275,control,10,10-1,24.6,27.3,27.7,29.9,30.5,31.81,31.83,31.7
3276,control,10,10-2,26.8,30.1,30.4,32.6,33.75,35.31,36.06,35.99
3277,mutant,10,10-3,25,26,26.7,27.6,27.6,28.49,27.13,20.38
3278,control,10,10-4,24.8,28,28.7,29.8,30.07,31.08,30.74,30.3
3280,control,11,11-1,24.8,27.4,27.9,29.7,29.5,31.08,31,30.5
3281,mutant,11,11-2,25.3,27,26.5,27.2,26.7,27.53,27.42,22.77
3282,mutant,11,11-3,24.25,27.9,27.2,28.7,28.4,30.04,27.8,22.78
3283,control,11,11-4,25.9,30.4,31,32.1,30.8,34.46,33.25,33.1
