ID myszy,genotype,treatment,birthdate,cage,cage_ID,21/12/21,22/12/21,23/12/21,24/12/21,25/12/21,26/12/21,27/12/21,28/12/21,29/12/21,30/12/21,31/12/21,01/01/22,02/01/22,03/01/22
3299,mutant,L-DOPA,16/06/2021,6,6-1,27.8,27.40,28.00,27.95,27.13,27.56,27.38,27.58,27.63,27.70,28.05,27.22,27.87,28.69
3300,control,sól,16/06/2021,6,6-2,34,33.90,32.90,32.87,32.83,32.28,32.28,32.40,32.13,31.69,32.04,31.33,31.43,32.75
3307,control,L-DOPA,20/06/2021,8,8-1,30.29,30.43,29.88,30.08,29.57,29.46,29.50,30.18,30.54,30.23,29.93,29.60,30.23,30.81
3308,control,sól,20/06/2021,8,8-2,29.90,30.15,29.94,29.97,29.23,29.83,29.55,29.59,29.90,29.70,29.79,29.69,30.19,30.64
3275,control,sól,20/06/2021,10,10-1,34.70,34.38,34.28,34.86,33.83,33.51,32.72,33.65,33.81,33.59,34.16,33.34,34.29,35.18
3276,control,L-DOPA,20/06/2021,10,10-2,37.46,36.98,37.01,37.15,36.38,35.60,34.96,35.64,35.77,36.07,36.28,35.41,35.84,36.89
3277,mutant,sól,20/06/2021,10,10-3,22.76,22.85,22.83,24.30,23.51,22.46,22.61,23.33,24.02,24.50,25.16,24.37,24.81,25.11
3278,control,L-DOPA,20/06/2021,10,10-4,33.52,32.61,32.31,32.43,31.88,31.22,30.69,31.41,31.71,31.76,31.76,32.32,32.23,32.69
3280,control,sól,12/06/2021,11,11-1,32.50,32.45,32.20,31.86,31.23,30.74,30.79,30.79,30.97,31.63,31.74,31.23,31.73,32.13
3281,mutant,L-DOPA,12/06/2021,11,11-2,25.80,25.87,25.55,26.37,25.36,25.22,24.56,24.40,24.95,25.89,25.44,24.25,24.03,24.33
3282,mutant,sól,12/06/2021,11,11-3,26.30,26.44,26.78,27.04,27.09,26.79,26.77,27.42,28.09,28.13,28.75,27.79,28.04,28.41
3283,control,L-DOPA,12/06/2021,11,11-4,35.70,35.84,35.23,35.18,34.58,34.06,34.81,34.56,35.16,35.73,36.03,35.75,35.92,35.65
3303,mutant,NA,20/06/21,7,7-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3306,control,NA,20/06/21,7,7-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3254,control,NA,10/06/21,9,9-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3255,mutant,NA,10/06/21,9,9-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
